Date,Attendance
2014-12-01,284
2014-12-02,253
2014-12-03,262
2014-12-04,233
2014-12-05,260
2014-12-06,217
2014-12-07,245
2014-12-08,292
2014-12-09,288
2014-12-10,277
2014-12-11,283
2014-12-12,250
2014-12-13,228
2014-12-14,286
2014-12-15,293
2014-12-16,268
2014-12-17,247
2014-12-18,234
2014-12-19,235
2014-12-20,281
2014-12-21,275
2014-12-22,270
2014-12-23,311
2014-12-24,282
2014-12-25,264
2014-12-26,314
2014-12-27,311
2014-12-28,283
2014-12-29,311
2014-12-30,327
2014-12-31,296
2015-01-01,281
2015-01-02,312
2015-01-03,310
2015-01-04,303
2015-01-05,369
2015-01-06,323
2015-01-07,292
2015-01-08,282
2015-01-09,295
2015-01-10,286
2015-01-11,308
2015-01-12,292
2015-01-13,303
2015-01-14,301
2015-01-15,304
2015-01-16,329
2015-01-17,320
2015-01-18,324
2015-01-19,352
2015-01-20,331
2015-01-21,347
2015-01-22,349
2015-01-23,345
2015-01-24,339
2015-01-25,322
2015-01-26,343
2015-01-27,360
2015-01-28,350
2015-01-29,321
2015-01-30,347
2015-01-31,297
2015-02-01,318
2015-02-02,389
2015-02-03,349
2015-02-04,301
2015-02-05,267
2015-02-06,281
2015-02-07,275
2015-02-08,260
2015-02-09,304
2015-02-10,291
2015-02-11,317
2015-02-12,290
2015-02-13,269
2015-02-14,246
2015-02-15,305
2015-02-16,274
2015-02-17,242
2015-02-18,210
2015-02-19,237
2015-02-20,306
2015-02-21,324
2015-02-22,282
2015-02-23,294
2015-02-24,246
2015-02-25,256
2015-02-26,279
2015-02-27,263
2015-02-28,251
2015-03-01,263
2015-03-02,274
2015-03-03,287
2015-03-04,253
2015-03-05,253
2015-03-06,262
2015-03-07,207
2015-03-08,240
2015-03-09,302
2015-03-10,267
2015-03-11,269
2015-03-12,235
2015-03-13,253
2015-03-14,275
2015-03-15,278
2015-03-16,322
2015-03-17,309
2015-03-18,288
2015-03-19,320
2015-03-20,309
2015-03-21,293
2015-03-22,281
2015-03-23,316
2015-03-24,283
2015-03-25,294
2015-03-26,268
2015-03-27,290
2015-03-28,288
2015-03-29,261
2015-03-30,334
2015-03-31,297
2015-04-01,271
2015-04-02,285
2015-04-03,303
2015-04-04,318
2015-04-05,318
2015-04-06,327
2015-04-07,302
2015-04-08,280
2015-04-09,289
2015-04-10,262
2015-04-11,272
2015-04-12,268
2015-04-13,312
2015-04-14,305
2015-04-15,285
2015-04-16,279
2015-04-17,291
2015-04-18,297
2015-04-19,293
2015-04-20,344
2015-04-21,315
2015-04-22,288
2015-04-23,312
2015-04-24,271
2015-04-25,275
2015-04-26,280
2015-04-27,318
2015-04-28,324
2015-04-29,300
