id,date,patient_count,source,notes,created_at
1246,2014-12-01,284,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1247,2014-12-02,253,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1248,2014-12-03,262,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1249,2014-12-04,233,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1250,2014-12-05,260,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1251,2014-12-06,217,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1252,2014-12-07,245,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1253,2014-12-08,292,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1254,2014-12-09,288,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1255,2014-12-10,277,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1256,2014-12-11,283,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1257,2014-12-12,250,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1258,2014-12-13,228,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1259,2014-12-14,286,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1260,2014-12-15,293,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1261,2014-12-16,268,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1262,2014-12-17,247,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1263,2014-12-18,234,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1264,2014-12-19,235,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1265,2014-12-20,281,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1266,2014-12-21,275,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1267,2014-12-22,270,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1268,2014-12-23,311,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1269,2014-12-24,282,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1270,2014-12-25,264,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1271,2014-12-26,314,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1272,2014-12-27,311,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1273,2014-12-28,283,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1274,2014-12-29,311,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1275,2014-12-30,327,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1276,2014-12-31,296,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1277,2015-01-01,281,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1278,2015-01-02,312,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1279,2015-01-03,310,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1280,2015-01-04,303,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1281,2015-01-05,369,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1282,2015-01-06,323,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1283,2015-01-07,292,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1284,2015-01-08,282,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1285,2015-01-09,295,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1286,2015-01-10,286,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1287,2015-01-11,308,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1288,2015-01-12,292,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1289,2015-01-13,303,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1290,2015-01-14,301,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1291,2015-01-15,304,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1292,2015-01-16,329,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1293,2015-01-17,320,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1294,2015-01-18,324,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1295,2015-01-19,352,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1296,2015-01-20,331,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1297,2015-01-21,347,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1298,2015-01-22,349,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1299,2015-01-23,345,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1300,2015-01-24,339,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1301,2015-01-25,322,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1302,2015-01-26,343,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1303,2015-01-27,360,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1304,2015-01-28,350,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1305,2015-01-29,321,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1306,2015-01-30,347,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1307,2015-01-31,297,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1308,2015-02-01,318,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1309,2015-02-02,389,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1310,2015-02-03,349,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1311,2015-02-04,301,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1312,2015-02-05,267,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1313,2015-02-06,281,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1314,2015-02-07,275,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1315,2015-02-08,260,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1316,2015-02-09,304,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1317,2015-02-10,291,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1318,2015-02-11,317,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1319,2015-02-12,290,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1320,2015-02-13,269,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1321,2015-02-14,246,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1322,2015-02-15,305,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1323,2015-02-16,274,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1324,2015-02-17,242,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1325,2015-02-18,210,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1326,2015-02-19,237,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1327,2015-02-20,306,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1328,2015-02-21,324,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1329,2015-02-22,282,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1330,2015-02-23,294,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1331,2015-02-24,246,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1332,2015-02-25,256,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1333,2015-02-26,279,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1334,2015-02-27,263,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1335,2015-02-28,251,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1336,2015-03-01,263,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1337,2015-03-02,274,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1338,2015-03-03,287,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1339,2015-03-04,253,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1340,2015-03-05,253,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1341,2015-03-06,262,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1342,2015-03-07,207,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1343,2015-03-08,240,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1344,2015-03-09,302,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1345,2015-03-10,267,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1346,2015-03-11,269,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1347,2015-03-12,235,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
1348,2015-03-13,253,csv_upload,從網頁上傳的 CSV 數據 (2025-12-29T22:51:52.929Z),2025-12-29 22:51:52.941979+00:00
