Date,Pressure_hPa,Temp_Mean,DewPoint,Humidity_pct,Cloud_pct,Rainfall_mm,Temp_Max,Temp_Min,Sunshine_hrs,Wind_kmh,Visibility_km
2014-01-01,1019.3,15.7,6.3,54.0,0.0,0.0,18.9,13.0,9.5,13.0,6.0
2014-01-02,1016.8,16.8,11.8,73.0,49.0,0.0,19.3,14.4,4.5,16.1,18.0
2014-01-03,1015.7,19.8,12.9,65.0,28.0,0.0,22.5,17.2,8.6,10.6,19.0
2014-01-04,1017.8,18.8,8.2,51.0,0.0,0.0,21.8,16.8,8.8,24.0,23.0
2014-01-05,1018.8,16.3,8.3,60.0,2.0,0.0,18.7,14.5,9.0,24.3,13.0
2014-01-06,1018.0,16.5,11.3,72.0,26.0,0.0,18.5,14.8,9.1,33.8,19.0
2014-01-07,1016.8,17.8,14.4,81.0,88.0,0.05,19.1,16.5,1.5,28.6,6.0
2014-01-08,1017.9,18.8,16.0,84.0,74.0,0.05,21.0,16.1,0.9,17.4,13.0
2014-01-09,1022.9,15.5,9.6,68.0,83.0,0.0,16.6,14.3,0.0,25.5,1.0
2014-01-10,1024.3,15.3,11.2,76.0,87.0,0.05,16.2,14.4,0.0,38.1,7.0
2014-01-11,1023.7,16.2,12.3,78.0,32.0,0.0,18.8,14.1,9.7,29.1,5.0
2014-01-12,1023.3,17.5,12.4,73.0,29.0,0.0,21.5,15.1,7.6,23.8,13.0
2014-01-13,1023.6,13.9,8.0,67.0,50.0,0.0,16.2,11.8,4.9,28.1,0.0
2014-01-14,1023.6,13.2,6.8,65.0,39.0,0.0,16.8,10.6,9.4,26.2,6.0
2014-01-15,1025.6,13.2,6.0,62.0,27.0,0.0,16.1,11.2,9.8,28.5,0.0
2014-01-16,1024.3,13.9,8.1,68.0,28.0,0.0,16.7,11.8,9.3,30.3,1.0
2014-01-17,1023.3,15.5,11.0,75.0,15.0,0.0,18.9,12.7,9.3,14.7,16.0
2014-01-18,1026.1,16.2,4.9,48.0,0.0,0.0,19.7,13.5,9.9,23.0,0.0
2014-01-19,1026.0,14.6,8.7,69.0,22.0,0.0,16.7,13.2,7.6,30.3,21.0
2014-01-20,1023.7,16.4,5.6,51.0,10.0,0.0,20.5,13.4,9.9,18.8,17.0
2014-01-21,1024.5,14.9,-1.4,33.0,0.0,0.0,17.6,12.9,9.7,31.5,3.0
2014-01-22,1025.2,13.3,0.6,43.0,0.0,0.0,17.0,10.3,10.0,18.6,0.0
2014-01-23,1023.2,13.3,7.8,70.0,12.0,0.0,15.8,11.6,9.6,26.9,0.0
2014-01-24,1018.8,15.6,11.7,78.0,46.0,0.0,18.5,12.9,9.5,28.0,0.0
2014-01-25,1017.7,18.4,14.4,78.0,83.0,0.0,21.4,16.5,6.5,20.8,3.0
2014-01-26,1019.4,19.0,14.6,76.0,74.0,0.0,24.4,16.3,5.3,19.9,12.0
2014-01-27,1021.3,16.4,11.6,74.0,30.0,0.0,18.9,15.0,8.8,28.8,6.0
2014-01-28,1020.4,17.0,12.3,75.0,21.0,0.0,20.3,14.8,9.6,20.1,0.0
2014-01-29,1019.9,17.8,12.7,72.0,2.0,0.0,21.2,15.6,10.1,15.4,0.0
2014-01-30,1019.3,18.9,14.4,75.0,5.0,0.0,22.9,15.9,10.2,7.3,0.0
2014-01-31,1018.4,19.4,15.1,77.0,16.0,0.0,22.8,16.4,10.2,9.9,3.0
2014-02-01,1015.4,20.0,17.0,83.0,34.0,0.0,22.2,18.3,6.5,10.8,3.0
2014-02-02,1011.6,20.2,15.4,76.0,16.0,0.0,23.8,17.5,9.7,10.0,4.0
2014-02-03,1010.0,20.6,14.9,71.0,3.0,0.0,24.6,17.4,10.2,9.4,0.0
2014-02-04,1013.3,18.2,15.1,82.0,73.0,0.05,19.4,16.6,0.4,40.3,2.0
2014-02-05,1013.9,17.1,14.1,82.0,82.0,0.05,19.0,15.9,3.2,35.6,0.0
2014-02-06,1012.1,18.6,16.3,87.0,81.0,0.05,21.6,16.7,5.1,16.0,0.0
2014-02-07,1010.9,20.3,18.0,87.0,84.0,0.05,23.4,18.1,3.2,10.5,0.0
2014-02-08,1011.4,16.6,14.9,90.0,88.0,0.3,18.0,16.0,0.0,22.5,0.0
2014-02-09,1012.3,14.5,13.7,95.0,93.0,13.1,16.7,10.4,0.0,36.7,0.0
2014-02-10,1019.1,9.1,5.3,77.0,88.0,0.3,10.5,8.3,0.0,39.2,3.0
2014-02-11,1019.9,8.4,3.1,69.0,89.0,0.05,9.7,7.5,0.0,28.1,0.0
2014-02-12,1018.8,8.9,6.6,85.0,96.0,0.4,10.5,7.3,0.0,24.2,6.0
2014-02-13,1021.3,8.7,7.2,91.0,96.0,21.4,9.8,8.0,0.0,30.2,2.0
2014-02-14,1022.1,10.6,4.8,67.0,64.0,0.0,14.6,8.2,4.9,25.3,9.0
2014-02-15,1020.4,11.8,8.1,79.0,86.0,0.05,13.6,9.7,0.0,32.2,0.0
2014-02-16,1018.6,14.2,12.5,89.0,100.0,0.05,15.4,13.3,0.0,33.0,13.0
2014-02-17,1018.1,17.6,16.6,95.0,90.0,0.0,20.9,15.3,4.2,18.5,7.0
2014-02-18,1016.4,17.0,15.3,90.0,88.0,0.05,21.5,12.2,0.9,16.3,0.0
2014-02-19,1021.5,10.0,5.6,75.0,84.0,3.8,12.4,7.9,0.1,39.7,0.0
2014-02-20,1024.8,12.3,4.8,62.0,5.0,0.0,17.3,8.2,10.7,22.1,0.0
2014-02-21,1024.5,13.8,9.3,75.0,74.0,0.0,15.2,12.3,3.9,41.2,0.0
2014-02-22,1023.0,14.7,10.5,77.0,85.0,0.2,17.1,12.6,2.6,40.3,0.0
2014-02-23,1022.7,16.2,12.4,78.0,52.0,0.0,19.2,14.4,9.6,34.6,0.0
2014-02-24,1020.6,17.0,14.0,82.0,64.0,0.05,19.3,15.0,6.3,34.8,0.0
2014-02-25,1018.6,18.7,16.0,85.0,83.0,0.0,20.9,17.3,4.2,24.7,2.0
2014-02-26,1018.0,20.2,17.9,87.0,73.0,0.05,24.1,17.9,5.2,13.5,6.0
2014-02-27,1018.9,19.6,17.7,89.0,80.0,0.05,21.1,18.7,1.0,25.8,0.0
2014-02-28,1017.0,18.3,16.1,87.0,88.0,0.05,19.0,17.4,0.0,28.7,1.0
2014-03-01,1014.6,20.0,18.1,89.0,86.0,0.0,22.1,18.4,0.9,13.8,0.0
2014-03-02,1014.6,19.0,17.6,91.0,90.0,0.6,21.7,16.0,1.4,21.8,3.0
2014-03-03,1017.0,15.8,13.8,87.0,89.0,0.05,16.3,15.4,0.0,42.3,0.0
2014-03-04,1017.5,16.8,15.4,91.0,94.0,0.1,18.2,15.4,0.0,22.4,2.0
2014-03-05,1018.7,16.7,14.3,86.0,89.0,0.1,17.6,15.9,0.0,30.0,1.0
2014-03-06,1018.2,15.3,13.2,88.0,88.0,0.05,15.9,14.8,0.0,43.2,3.0
2014-03-07,1020.3,14.6,12.6,88.0,89.0,0.1,15.1,14.1,0.0,46.3,0.0
2014-03-08,1018.8,15.1,14.1,94.0,94.0,0.9,16.2,14.2,0.0,29.2,0.0
2014-03-09,1020.9,14.8,12.5,87.0,88.0,0.05,15.5,14.2,0.0,24.2,0.0
2014-03-10,1022.1,14.4,11.1,81.0,88.0,0.05,15.6,13.9,0.0,45.5,1.0
2014-03-11,1020.2,15.0,12.7,86.0,88.0,0.3,15.9,14.1,0.0,39.4,14.0
2014-03-12,1014.7,17.7,17.1,96.0,93.0,0.1,19.5,15.4,0.0,14.7,0.0
2014-03-13,1016.2,20.2,15.8,77.0,85.0,0.3,22.2,19.0,1.3,19.8,0.0
2014-03-14,1022.2,17.1,12.1,73.0,84.0,0.4,19.9,14.7,1.1,31.3,0.0
2014-03-15,1022.1,16.0,9.8,67.0,90.0,0.05,17.5,14.7,0.3,29.2,7.0
2014-03-16,1021.0,18.1,12.4,70.0,82.0,0.0,19.9,16.3,2.6,24.9,6.0
2014-03-17,1018.9,20.4,18.4,88.0,86.0,0.05,22.9,18.4,1.5,18.2,4.0
2014-03-18,1016.0,21.9,20.0,89.0,85.0,0.0,25.0,19.9,4.6,12.8,1.0
2014-03-19,1013.6,22.7,20.1,86.0,48.0,0.0,26.8,20.4,9.1,6.8,1.0
2014-03-20,1014.2,21.5,18.0,81.0,31.0,0.0,25.2,18.7,9.0,14.3,5.0
2014-03-21,1020.4,16.5,10.6,69.0,88.0,0.05,18.7,15.5,0.0,26.7,0.0
2014-03-22,1021.0,17.3,10.8,67.0,53.0,0.0,20.8,15.2,8.0,32.9,8.0
2014-03-23,1022.0,18.4,12.6,70.0,42.0,0.0,22.0,15.9,10.7,33.1,0.0
2014-03-24,1019.4,19.5,14.0,72.0,45.0,0.0,23.1,16.6,8.9,25.0,0.0
2014-03-25,1015.5,21.9,16.6,73.0,37.0,0.0,26.5,18.9,9.9,14.4,0.0
2014-03-26,1013.9,22.6,19.2,82.0,55.0,0.05,26.2,20.6,7.5,7.4,0.0
2014-03-27,1012.7,23.5,20.1,82.0,53.0,0.0,27.6,20.6,8.6,11.5,0.0
2014-03-28,1012.1,22.2,20.8,92.0,88.0,0.05,23.3,21.2,0.0,18.5,3.0
2014-03-29,1011.4,21.8,20.8,94.0,87.0,19.0,23.5,20.7,0.2,9.5,0.0
2014-03-30,1010.4,22.6,21.0,91.0,90.0,103.1,26.0,19.1,0.2,20.8,0.0
2014-03-31,1009.7,20.0,19.7,98.0,93.0,82.6,21.2,18.9,0.2,18.9,0.0
2014-04-01,1010.9,20.2,19.8,98.0,89.0,8.0,20.9,19.5,0.1,21.2,1.0
2014-04-02,1011.9,19.4,18.9,97.0,88.0,24.4,20.3,18.6,0.3,25.8,0.0
2014-04-03,1013.5,19.6,19.1,97.0,89.0,42.3,20.7,18.5,1.1,16.6,0.0
2014-04-04,1016.5,20.6,17.3,82.0,60.0,0.0,22.9,19.2,7.0,27.0,3.0
2014-04-05,1016.5,20.8,15.5,73.0,34.0,0.0,24.7,18.2,10.4,20.4,0.0
2014-04-06,1017.0,19.2,17.3,89.0,90.0,9.3,21.0,17.5,0.0,41.0,7.0
2014-04-07,1016.4,19.2,16.7,86.0,88.0,0.05,20.1,17.9,0.4,38.2,1.0
2014-04-08,1014.6,19.9,19.1,95.0,80.0,27.5,21.2,18.8,0.0,20.8,0.0
2014-04-09,1014.1,22.3,20.3,89.0,55.0,0.05,26.5,19.8,9.2,13.7,1.0
2014-04-10,1015.2,22.1,19.5,85.0,71.0,0.05,24.4,21.1,4.9,24.3,5.0
2014-04-11,1013.7,22.7,19.9,85.0,77.0,0.05,25.8,20.7,8.6,19.8,2.0
2014-04-12,1012.3,24.1,20.8,82.0,49.0,0.0,27.8,21.8,10.1,10.8,1.0
2014-04-13,1012.1,24.7,21.6,84.0,24.0,0.0,28.7,22.1,10.4,9.6,0.0
2014-04-14,1014.7,22.8,19.9,84.0,57.0,0.4,24.5,21.7,0.8,27.6,7.0
2014-04-15,1015.9,21.9,17.8,78.0,75.0,0.0,24.4,20.5,7.6,33.1,0.0
2014-04-16,1013.3,22.1,19.3,84.0,88.0,0.0,23.6,21.0,0.5,23.1,5.0
2014-04-17,1012.0,24.1,21.5,86.0,55.0,0.0,27.5,22.1,8.1,10.1,4.0
2014-04-18,1012.2,24.9,21.8,84.0,32.0,0.0,28.6,22.4,9.5,5.2,0.0
2014-04-19,1011.7,25.0,22.2,85.0,46.0,0.0,27.8,23.1,7.6,7.2,0.0
2014-04-20,1011.1,25.4,21.9,82.0,72.0,0.0,28.1,23.5,1.0,4.6,0.0
2014-04-21,1012.6,23.8,22.2,91.0,86.0,0.6,24.9,22.9,0.4,21.2,1.0
2014-04-22,1012.6,24.8,22.2,86.0,88.0,0.05,27.5,22.9,1.3,8.0,6.0
2014-04-23,1012.3,22.4,21.7,96.0,93.0,13.3,24.9,21.4,0.0,32.1,1.0
2014-04-24,1011.7,21.7,20.9,95.0,90.0,1.5,22.3,21.3,0.0,34.2,3.0
2014-04-25,1012.2,22.6,21.8,95.0,92.0,1.7,23.7,21.6,0.0,23.8,8.0
2014-04-26,1012.9,23.1,21.3,90.0,84.0,2.7,24.9,22.0,0.5,21.1,3.0
2014-04-27,1013.3,25.5,20.2,73.0,63.0,0.0,29.0,22.1,8.4,12.3,6.0
2014-04-28,1013.5,25.4,18.8,68.0,69.0,0.0,28.6,23.6,7.3,18.9,0.0
2014-04-29,1013.1,23.9,20.5,81.0,79.0,0.0,25.7,22.9,2.7,22.3,0.0
2014-04-30,1011.7,23.3,20.6,85.0,85.0,0.7,25.0,22.3,1.2,22.6,10.0
2014-05-01,1012.6,22.8,20.5,87.0,88.0,2.8,25.3,21.0,0.9,31.5,7.0
2014-05-02,1015.0,24.0,20.4,81.0,83.0,0.05,27.0,22.3,5.2,31.6,0.0
2014-05-03,1014.5,24.6,20.0,76.0,81.0,0.2,26.8,23.1,6.5,36.9,1.0
2014-05-04,1012.0,22.4,21.6,95.0,88.0,7.3,23.8,21.5,0.2,32.3,2.0
2014-05-05,1014.3,21.8,20.2,91.0,84.0,26.6,23.8,20.2,1.9,30.7,0.0
2014-05-06,1016.4,19.9,17.9,89.0,88.0,1.0,20.4,18.8,0.0,35.0,1.0
2014-05-07,1013.6,20.4,19.5,94.0,94.0,3.2,21.2,19.8,0.0,28.0,0.0
2014-05-08,1010.7,22.2,21.7,97.0,98.0,106.3,23.2,21.2,0.1,23.5,0.0
2014-05-09,1009.1,21.7,21.6,99.0,98.0,89.1,22.2,20.9,0.0,,0.0
2014-05-10,1008.2,23.3,22.5,95.0,87.0,12.5,25.6,21.5,0.4,,0.0
2014-05-11,1007.7,24.3,23.4,95.0,92.0,164.5,26.6,22.3,0.0,,0.0
2014-05-12,1008.5,25.8,24.4,92.0,87.0,40.9,29.4,23.4,3.3,,0.0
2014-05-13,1007.0,27.3,25.4,89.0,84.0,57.5,29.1,24.8,2.4,20.6,0.0
2014-05-14,1005.2,28.7,25.2,82.0,79.0,2.0,30.9,27.5,2.5,,0.0
2014-05-15,1005.1,28.9,25.7,83.0,79.0,2.8,30.8,27.3,4.1,25.7,0.0
2014-05-16,1007.6,28.2,26.3,90.0,82.0,18.8,30.4,26.9,1.0,25.0,0.0
2014-05-17,1008.8,28.3,26.0,88.0,86.0,10.7,30.2,26.5,1.3,25.0,0.0
2014-05-18,1008.9,28.7,25.4,82.0,84.0,1.2,30.4,27.5,2.0,20.3,0.0
2014-05-19,1008.9,28.9,25.2,81.0,82.0,0.7,32.0,25.8,4.5,23.5,0.0
2014-05-20,1007.8,26.9,24.6,88.0,89.0,53.2,29.8,23.1,2.0,21.8,0.0
2014-05-21,1006.9,27.1,24.9,88.0,86.0,47.1,30.6,23.9,1.9,18.6,0.0
2014-05-22,1005.7,29.1,25.1,80.0,88.0,0.05,29.9,28.2,0.4,30.9,0.0
2014-05-23,1008.6,27.4,25.5,90.0,87.0,33.1,28.9,25.4,0.0,24.0,0.0
2014-05-24,1011.4,27.9,25.4,87.0,77.0,0.0,31.5,25.9,4.7,14.8,0.0
2014-05-25,1011.5,29.5,25.1,78.0,71.0,3.6,32.6,26.7,8.5,15.8,0.0
2014-05-26,1010.0,29.6,25.3,78.0,71.0,0.05,32.0,27.8,9.9,20.4,0.0
2014-05-27,1007.9,29.7,25.4,78.0,66.0,0.0,32.7,27.8,9.9,23.8,0.0
2014-05-28,1007.4,29.4,24.8,77.0,57.0,0.0,32.1,27.6,11.5,23.7,0.0
2014-05-29,1007.0,29.4,25.3,79.0,78.0,0.05,31.4,28.1,7.2,22.5,0.0
2014-05-30,1007.4,29.8,25.1,76.0,67.0,2.2,32.0,27.9,6.2,17.0,0.0
2014-05-31,1008.0,30.1,25.4,76.0,53.0,0.05,32.8,28.4,9.3,8.5,0.0
2014-06-01,1007.5,30.2,25.5,77.0,60.0,3.7,33.2,28.1,10.3,21.0,0.0
2014-06-02,1005.5,30.1,25.0,74.0,67.0,0.0,32.7,28.4,11.0,27.3,0.0
2014-06-03,1004.2,29.5,25.5,79.0,83.0,0.05,31.3,28.4,1.5,19.6,0.0
2014-06-04,1004.3,30.2,25.2,75.0,56.0,0.0,32.5,28.3,11.6,10.3,0.0
2014-06-05,1003.6,29.9,25.8,79.0,80.0,0.2,32.0,28.4,3.0,16.3,0.0
2014-06-06,1003.1,28.0,24.4,81.0,88.0,17.2,30.1,26.6,1.2,10.1,0.0
2014-06-07,1002.3,27.2,24.2,84.0,87.0,7.6,30.0,25.2,1.9,4.5,0.0
2014-06-08,1001.2,28.6,25.2,82.0,75.0,57.6,31.5,26.2,5.5,7.1,12.0
2014-06-09,1001.8,27.8,24.3,81.0,80.0,0.05,30.5,25.9,6.6,26.0,0.0
2014-06-10,1001.7,28.4,24.3,79.0,82.0,0.05,30.7,27.0,4.7,21.4,0.0
2014-06-11,1001.9,28.1,24.0,78.0,85.0,0.05,29.4,27.4,1.6,28.1,0.0
2014-06-12,1002.1,28.8,22.2,68.0,59.0,0.0,32.3,26.9,9.1,30.8,1.0
2014-06-13,1002.6,28.8,19.4,58.0,46.0,0.0,31.9,26.3,6.5,32.1,1.0
2014-06-14,1003.1,29.8,20.7,59.0,75.0,0.05,33.5,27.8,7.7,19.6,0.0
2014-06-15,1001.9,28.2,24.1,80.0,87.0,9.9,30.8,25.3,0.8,16.7,3.0
2014-06-16,1002.5,29.6,26.0,81.0,88.0,3.8,31.9,26.6,3.7,28.8,0.0
2014-06-17,1004.7,30.2,26.1,79.0,87.0,1.1,31.9,29.2,2.9,25.2,0.0
2014-06-18,1004.6,30.1,26.0,79.0,80.0,6.0,32.5,27.7,7.8,22.9,0.0
2014-06-19,1003.4,29.7,26.4,83.0,83.0,10.5,32.6,27.5,4.4,19.9,0.0
2014-06-20,1002.7,29.2,26.4,85.0,87.0,29.2,30.5,26.2,0.2,26.0,0.0
2014-06-21,1003.2,28.4,26.1,88.0,87.0,47.6,30.2,25.3,1.6,21.6,0.0
2014-06-22,1004.1,26.6,25.5,94.0,86.0,114.9,28.1,25.2,0.0,8.5,0.0
2014-06-23,1004.1,27.8,25.8,89.0,84.0,41.5,29.5,26.5,0.3,13.7,0.0
2014-06-24,1004.3,27.8,26.1,91.0,85.0,45.9,30.3,26.1,4.9,13.6,0.0
2014-06-25,1005.7,27.6,26.1,92.0,83.0,18.5,29.9,26.1,1.3,16.3,0.0
2014-06-26,1006.5,30.3,26.0,78.0,73.0,0.1,33.2,27.5,9.5,14.7,0.0
2014-06-27,1005.6,30.5,26.1,78.0,69.0,0.0,33.7,28.4,8.6,11.0,0.0
2014-06-28,1004.3,30.3,25.8,78.0,59.0,0.0,33.1,28.5,9.9,8.5,0.0
2014-06-29,1005.0,29.3,26.2,84.0,74.0,20.4,32.2,26.7,5.2,17.9,0.0
2014-06-30,1007.4,29.3,26.4,85.0,80.0,0.9,32.5,27.1,4.0,25.5,0.0
2014-07-01,1008.8,28.7,26.5,88.0,82.0,13.9,31.6,26.3,1.6,20.7,0.0
2014-07-02,1007.0,30.1,26.4,81.0,73.0,0.05,32.9,28.0,6.6,13.4,0.0
2014-07-03,1004.4,30.5,26.1,77.0,72.0,0.1,33.1,29.1,10.6,18.0,0.0
2014-07-04,1004.0,30.9,26.0,76.0,57.0,0.0,33.8,29.3,11.0,15.6,1.0
2014-07-05,1004.5,30.9,26.2,76.0,68.0,1.5,33.8,28.9,9.9,15.1,0.0
2014-07-06,1004.1,30.4,26.2,79.0,82.0,14.8,32.9,27.9,7.5,14.4,0.0
2014-07-07,1001.9,29.0,25.9,84.0,88.0,5.5,30.3,26.9,0.9,8.9,1.0
2014-07-08,1000.3,30.5,26.0,78.0,85.0,0.0,33.5,28.4,7.2,9.1,3.0
2014-07-09,1002.3,30.8,25.9,76.0,63.0,0.05,33.4,28.4,9.7,10.1,5.0
2014-07-10,1003.9,30.1,26.2,80.0,77.0,16.9,32.7,27.4,5.7,12.0,0.0
2014-07-11,1005.2,29.4,26.0,82.0,76.0,23.3,32.2,26.8,2.9,11.5,0.0
2014-07-12,1006.7,30.3,26.5,81.0,65.0,5.8,33.6,28.3,5.1,25.3,0.0
2014-07-13,1008.5,30.0,26.1,80.0,70.0,2.9,33.1,28.5,6.2,17.4,0.0
2014-07-14,1009.6,29.9,26.1,80.0,74.0,22.6,32.3,27.0,7.1,16.3,0.0
2014-07-15,1009.8,30.6,25.5,75.0,77.0,0.2,33.8,28.8,9.1,15.4,0.0
2014-07-16,1007.9,30.2,25.4,76.0,78.0,0.05,33.5,28.1,11.1,11.1,0.0
2014-07-17,1004.7,29.2,25.5,81.0,79.0,34.5,32.1,26.7,4.4,41.6,0.0
2014-07-18,1003.9,27.6,25.5,88.0,88.0,19.5,29.0,26.3,0.3,49.3,0.0
2014-07-19,1007.3,28.7,26.1,86.0,85.0,6.5,31.7,26.9,6.6,27.6,0.0
2014-07-20,1008.1,28.9,26.0,85.0,81.0,11.1,32.2,26.4,9.0,12.0,0.0
2014-07-21,1005.5,29.7,24.7,75.0,73.0,0.0,32.7,27.8,5.0,5.0,1.0
2014-07-22,1002.6,29.4,25.2,79.0,53.0,35.7,33.2,26.2,8.1,16.4,3.0
2014-07-23,999.7,30.6,26.6,79.0,60.0,0.0,32.9,29.2,10.8,39.7,0.0
2014-07-24,1001.4,29.8,26.5,83.0,88.0,7.3,31.0,27.9,1.4,37.3,0.0
2014-07-25,1005.7,29.9,25.4,77.0,82.0,6.2,33.5,27.3,7.9,17.6,0.0
2014-07-26,1008.8,28.4,26.0,87.0,87.0,6.7,30.3,26.0,4.8,19.1,0.0
2014-07-27,1008.8,27.9,26.1,90.0,75.0,25.5,30.6,25.9,5.1,17.9,0.0
2014-07-28,1006.3,29.6,25.0,77.0,40.0,0.0,33.2,27.2,11.7,10.6,0.0
2014-07-29,1005.3,30.0,25.1,76.0,52.0,0.0,34.2,27.5,8.8,6.7,0.0
2014-07-30,1005.1,30.4,26.0,78.0,34.0,0.0,33.6,28.1,10.5,8.9,0.0
2014-07-31,1003.0,30.8,25.6,75.0,16.0,0.0,33.6,28.7,10.9,19.1,0.0
2014-08-01,1001.0,30.2,25.7,78.0,39.0,5.9,34.6,25.9,10.6,22.7,0.0
2014-08-02,1001.4,29.7,25.6,79.0,47.0,10.7,32.8,26.1,10.7,16.3,0.0
2014-08-03,1001.9,29.3,25.7,82.0,60.0,39.3,32.3,26.1,9.7,13.3,0.0
2014-08-04,1002.4,30.2,26.4,81.0,72.0,12.0,32.7,27.2,6.9,12.1,0.0
2014-08-05,1003.4,29.2,26.6,86.0,73.0,21.1,30.7,27.3,2.0,10.2,0.0
2014-08-06,1003.6,28.1,25.7,87.0,83.0,36.5,31.1,26.1,3.2,12.9,0.0
2014-08-07,1003.3,29.0,26.1,85.0,87.0,14.5,31.0,26.7,5.0,21.8,0.0
2014-08-08,1003.0,29.9,25.4,78.0,57.0,0.0,32.3,28.1,11.0,20.4,0.0
2014-08-09,1004.4,30.1,25.5,77.0,72.0,0.0,32.0,28.8,7.7,25.9,0.0
2014-08-10,1004.7,29.8,25.5,78.0,74.0,5.1,32.4,27.5,7.3,27.2,0.0
2014-08-11,1003.3,29.9,26.1,80.0,78.0,0.05,32.1,28.5,6.1,22.1,0.0
2014-08-12,1002.1,28.9,26.0,85.0,88.0,102.9,31.9,25.2,3.4,23.3,0.0
2014-08-13,1003.5,26.0,25.3,96.0,93.0,166.1,28.8,24.3,0.0,16.2,0.0
2014-08-14,1008.0,28.1,25.4,85.0,79.0,0.5,30.7,25.4,3.3,18.9,0.0
2014-08-15,1010.1,29.2,24.8,78.0,53.0,0.0,32.4,26.7,10.9,13.7,0.0
2014-08-16,1008.6,29.3,25.1,79.0,65.0,0.0,31.9,27.9,9.0,23.1,0.0
2014-08-17,1007.3,29.3,25.0,78.0,49.0,0.0,31.9,27.3,11.2,20.4,0.0
2014-08-18,1008.2,29.6,24.9,76.0,76.0,0.0,32.4,27.7,10.7,22.8,0.0
2014-08-19,1008.7,27.4,24.7,86.0,93.0,42.1,31.3,24.6,2.0,26.9,0.0
2014-08-20,1010.4,24.7,23.9,95.0,88.0,88.8,26.5,22.9,0.0,6.0,0.0
2014-08-21,1010.7,26.9,24.3,86.0,68.0,0.1,30.7,23.9,5.4,8.1,0.0
2014-08-22,1010.6,28.5,24.9,81.0,61.0,0.0,31.9,26.6,4.9,6.9,0.0
2014-08-23,1009.8,29.1,24.9,78.0,51.0,0.05,32.2,27.2,6.3,8.0,0.0
